id;username;password;email;first_name;last_name;image_url;enabled;locked;protected;mfa_enabled;mfa_verified;mfa_secret;email_verified;provider;provider_id;email_verification_token;email_verification_expires_at;pending_email;email_change_token;email_change_token_expires_at;password_reset_token;password_reset_expires_at;created_at;created_by;updated_at;updated_by
0e00df74-824a-4f58-b8e5-cacc67b9750b;admin;$2a$10$sva6wl8pmGKJE6NIWrxwcuJK1Jaa2I/LOI43iHVpbR4YB8KjGViiK;yami.yugi@example.com;Yami;Yugi;http://localhost:8080/api/v1/account/0e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;true;false;false;;true;;;;;;;;;;2025-05-10 12:00:00;system;2025-05-10 12:00:00;system
1e00df74-824a-4f58-b8e5-cacc67b9750b;user;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;seto.kaiba@example.com;Seto;Kaiba;http://localhost:8080/api/v1/account/1e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;true;false;Fyb/q0ZFXdZQq7Bk/ZSBvSZKCDCPTafnyGdh7qI/LxN5ccTCI8ZZjYOFqFA=;true;;;;;;;;;;2025-05-10 12:00:00;system;2025-05-10 12:00:00;system
2e00df74-824a-4f58-b8e5-cacc67b9750b;pegasus;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;maximillion.pegasus@example.com;Maximillion;Pegasus;http://localhost:8080/api/v1/account/2e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-10 12:00:00;system;2025-05-10 12:00:00;system
3e00df74-824a-4f58-b8e5-cacc67b9750b;joey;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;joey.wheeler@example.com;Joey;Wheeler;http://localhost:8080/api/v1/account/3e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 14:00:00;system;2025-05-11 14:00:00;system
4e00df74-824a-4f58-b8e5-cacc67b9750b;yamibakura;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;yami.bakura@example.com;Yami;Bakura;http://localhost:8080/api/v1/account/4e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 14:30:00;system;2025-05-11 14:30:00;system
5e00df74-824a-4f58-b8e5-cacc67b9750b;atem;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;pharaoh.atem@example.com;Pharaoh;Atem;http://localhost:8080/api/v1/account/5e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 15:00:00;system;2025-05-11 15:00:00;system
6e00df74-824a-4f58-b8e5-cacc67b9750b;yugi;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;yugi.muto@example.com;Yugi;Muto;http://localhost:8080/api/v1/account/6e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 15:30:00;system;2025-05-11 15:30:00;system
7e00df74-824a-4f58-b8e5-cacc67b9750b;marik;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;marik.ishtar@example.com;Marik;Ishtar;http://localhost:8080/api/v1/account/7e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 16:00:00;system;2025-05-11 16:00:00;system
8e00df74-824a-4f58-b8e5-cacc67b9750b;yamimarik;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;yami.marik@example.com;Yami;Marik;http://localhost:8080/api/v1/account/8e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 16:30:00;system;2025-05-11 16:30:00;system
9e00df74-824a-4f58-b8e5-cacc67b9750b;mai;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;mai.valentine@example.com;Mai;Valentine;http://localhost:8080/api/v1/account/9e00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 17:00:00;system;2025-05-11 17:00:00;system
ae00df74-824a-4f58-b8e5-cacc67b9750b;bakura;$2a$10$5Py4PyteLuXEqnGpSigzfu0V55C7Hi7zX18lmh.J8Bpmft.h23voG;bakura.ryou@example.com;Bakura;Ryou;http://localhost:8080/api/v1/account/ae00df74-824a-4f58-b8e5-cacc67b9750b/avatar;true;false;false;false;false;;true;;;;;;;;;;2025-05-11 17:30:00;system;2025-05-11 17:30:00;system
